2m,4m,6m,8m,10m
0.854539899,4.43574119,1.26254683,2.67569491,1.24584156
2.135777282,1.64603547,0.76092147,0.98825813,4.03576284
0.772355776,2.3482255,1.20374512,1.35857111,0.8296779
0.739055834,4.89995756,3.41176523,3.22649713,2.33093159
0.954715486,1.49159898,4.39731103,2.05941115,2.36708971
0.812672018,1.10086049,1.07844717,0.95059724,1.13338746
0.841629974,1.67811495,0.70836024,3.77193154,2.64467221
1.141482445,1.15814382,1.85301931,2.02214409,0.65672407
0.667274188,3.94688618,0.69690507,1.10259208,1.70372839
0.761499258,1.18171778,2.01222151,2.15725269,1.21412224
2.481495537,3.89844169,0.40074481,3.62636562,0.68414418
2.793201932,5.57110971,1.07234184,0.56808843,1.43467481
3.120201621,1.28662305,0.82422564,2.25170765,1.85977554
1.400705068,4.76204464,2.24219581,2.38359534,0.99748616
0.690897269,0.94716675,1.41377423,0.86253829,2.97562288
2.352219052,1.68226719,0.89038981,0.7584443,1.32164085
2.275231991,2.73170004,0.75117606,2.13469015,0.63046041
1.575256448,0.95889527,0.76635334,4.54021664,0.46800937
1.2267755,2.26572965,0.57174014,1.46222481,1.53833356
2.320122736,1.95826865,0.93247687,0.65052099,1.05846554
1.174517227,1.18845928,0.34989322,1.8382914,1.14955248
0.903175975,2.41427009,2.53984776,1.35733075,1.18443251
0.661542399,3.20931738,0.79407472,1.75897238,0.98988706
1.054954453,2.48231589,0.73955237,1.07352116,0.5795702
0.943821089,2.31670072,2.29689033,0.47446063,4.82518206
2.744184445,1.20884459,1.20223442,0.47402769,3.65485642
0.70400956,1.13022915,1.36236411,0.91743328,1.05915857
3.452288085,0.80637191,1.17378316,1.49064206,1.4793541
0.932742961,1.28677997,0.9770656,0.90306974,1.31845117
0.583284579,1.34433737,2.09456145,0.85848696,1.55844783
1.51208464,1.43244397,2.69770987,0.68303287,1.06987938
1.033635874,0.83905747,1.23954079,0.42978293,0.62667048
3.518068004,0.43128603,1.41359823,0.63120936,0.71669903
0.619317879,1.4857281,2.9643199,1.43734583,0.34244473
1.695018457,1.49735596,2.87881805,1.10130737,2.38049831
1.624844026,0.83738622,0.67721878,1.01812314,2.34489302
0.751329889,0.90422714,1.01095978,2.09669966,0.52866279
1.781466485,1.45800307,0.67284472,5.40425759,2.64466667
1.563186557,1.26566402,4.23623102,0.62082514,0.69700138
0.966718132,0.76627517,3.09795315,2.11872718,0.90546035
0.578403718,1.18838083,2.0117504,0.88369311,0.4191328
0.535097155,1.93078427,4.53134086,2.43681252,0.87337534
0.970832564,0.8361066,2.09095581,0.55129604,5.01385421
1.865102392,1.42699595,4.4162229,1.61797754,2.49328212
0.876916215,1.0939806,1.3713343,2.35500789,1.690165
1.651203804,1.72193698,1.36360908,1.31579415,0.69124447
0.607518953,1.36329182,0.82959391,1.89654384,1.12262929
2.298103639,0.71695252,0.60266165,0.8932502,3.95097207
0.766405344,0.84654961,1.50392791,4.56808944,2.16565701
0.760033256,5.48543681,0.68084322,0.45957285,4.74072359
1.827300638,1.17829889,0.74003305,2.20428713,0.93446025
0.816057516,2.36146834,1.40260683,4.6761846,0.82257289
2.763253927,1.23577113,1.33219945,1.58040746,1.42695372
1.899379338,1.82157981,2.27743158,1.25055028,2.09271062
0.451587987,0.98962223,1.93838829,3.59823995,1.19887316
1.275935674,2.0293702,0.82636053,2.89303435,2.42036039
0.727264956,1.58865446,1.98080553,1.65206147,1.14102261
0.590896611,0.55825748,2.24191352,0.72722551,0.85081033
0.962508632,1.54046432,0.6414593,1.94297678,0.99151631
0.885109893,1.13863364,1.17744561,0.91794163,1.9329243
1.119003311,0.55825748,2.79012946,3.70121923,1.56976043
4.417598682,0.99345044,0.77662592,0.78964432,0.59308855
